"DEPOSIT.NAME","STATE.or.PROVINCE","COUNTRY","LATITUDE","LONGITUDE","ESTIMATED.LOCATION...Yes.or.No.","RESERVES..RESOURCES.DESIGNATION","RESERVES..RESOURCES.NUMBER","YEARS.NEEDED.TO.DEVELOP","Timeline..1...Short..2...Long.","REE.MINERALOGY","REEs","HEAVY.or.LIGHT","APPLICATIONS","BYPRODUCT...Yes.or.No.","TONNAGE.AND.GRADE","OTHER.ORE.or.SIGNIFICANT.MINERALS","GANGUE.and.ROCKFORMING.MINERALS","AGE..Method..Mineral..Rock.","DEPOSIT.TYPE","HOST.ROCK","COMPANY","COMMENTS","REFERENCES","Icon"
"Ablah","Not Available","Saudi Arabia",20.0833,41.91667,"No","Inferred resources",5,9999,2,"Not Available","Not Available","Not Available","Not Available","No","Not Available","Zr, Nb, Ta","Not Available","Not Available","Alkalic Igneous","Syenite, Breccia","Not Available","Occurrence, uncertain","Matzko and Naqvi, 1978","wht_blank"
"Abu Tartar","Western Desert","Egypt",25.4333,30.0333,"No","Indicated resources",4,15,2,"Not Available","Not Available","Not Available","Not Available","Yes",">0.2% REE","Collophane, Carbonate-Fluorapatite, Carbonate-Hydroxlapatite, Wavellite, Pyrite, Marcasite, Mn-apatite","Dolomite, Ankerite, Montmorillonite, Calcite, Gypsum-anhydrite, Fe oxides, Glaucophane, Quartz, Carbonaceous matter","Late Cretaceous","Phosphorite","Duwi (Phosphate) Formation","Not Available","Active P mine; REE is potential byproduct.","Hussein and El Sharkawi, 1990; de Kun, 1987; Schroter, 1989; British Sulphur Corporation, 1987; Industrial Minerals, 1995; Location from USGS, 2000, MASMILS database","red_blank"
"Adiounedj","Not Available","Mali",20.183333,0.06667,"No","Inferred resources",5,9999,1,"Synchysite","Ce, Nd, Y","Light/Heavy","Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Batteries, Phosphors, Petroleum refining, Magnets, Ceramics","No","Not Available","Fluorite, Titanite, Apatite, Barite, Pyrochlore","Quartz, Calcite, Iron oxides, Cancrinite, Sodalite, Aegirine-Augite","Permian?","Carbonatite","Fenite, Rodbergite, Syenite, Carbonatite","Not Available","Occurrence; Hydrothermal synchysite found in fluorite, calcite, and quartz.","Woolley, 2001; Wall and Mariano, 1996; Mariano, 1983a; Sauvage and Savard, 1985","wht_blank"
"Agate Mountain","Not Available","Namibia",-18.45,12.0833,"No","Inferred resources",5,9999,1,"Bastnasite","Y, Eu, Gd, Dy, Er, Tm, Lu","Heavy","Phosphors, Ceramics, Magnets, Lasers, Metal alloys, Nuclear industry","No","Not Available","Fluorite, Mn","Not Available","Post-early Cretaceous","Carbonatite","Beforsitic carbonatite, Breccia, Fenite","Not Available","Occurrence; Carbonatite contains irregular patches of bastnasite.","Woolley, 2001; McManus and Schneider, 1994","wht_blank"
"Agnes Waters (Rocky Point)","Queensland","Australia",-24.21667,151.9,"No","Inferred resources",5,9999,1,"Monazite","La, Ce, Pr, Nd, Sm, Tb","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets","No","2-4% heavy minerals","Ilmenite, Zircon, Rutile","Quartz","Tertiary","Placer, Shoreline","Dune sand","Mineral Deposits Ltd.","Occurrence; Marine placer. 3 generations of dune formation.","Towner, 1992; Towner and others, 1988; Jackson and Christiansen, 1993; ESCAP and ABMRGG, 1988","wht_blank"
"Agnew Lake","Ontario","Canada",46.3667,-81.75,"Yes","Inferred resources",5,9999,1,"Not Available","Not Available","Not Available","Not Available","No","Not Available","Not Available","Not Available","Not Available","Other - Uranium Deposits","Not Available","Not Available","Occurrence, uncertain; Uranium deposit with associated rare earths. Approximate location: 65 km east of Elliot Lake.","Roskill, 1988; Location from NIMA, 2001","wht_blank"
"Aguas Dulces","Rocha","Uruguay",-34.25,-53.716667,"No","Inferred resources",5,9999,1,"Monazite","La, Ce, Pr, Nd, Sm, Tb","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets","No","2.5% heavy minerals","Ilmenite, Magnetite, Zircon, Rutile","Not Available","Cenozoic","Placer, Shoreline","Beach sands","Not Available","Occurrence","Bossi, 1978; Location from USGS, 2000, MRDS database","wht_blank"
"Akitskii","Baikal","Russia",56.01667,110.3667,"No","Inferred resources",5,9999,2,"Xenotime, Parisite","Y, Tb, Yb, Ce, La, Nd","Heavy/Light","Phosphors, Ceramics, Magnets, Lasers, Silicon photovoltaic cells, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Batteries, Petroleum refining","No","Not Available","Fluorite, Taeniolite, Barite, Pyrite, Cerussite, Hematite, Titanite, Apatite, Ilmenite","Albite, Calcite, Ankerite, Microcline, Cancrinite, Aegirine, Arfvedsonite, Biotite","199 Ma (K-Ar, Biotite, Peralkaline syenite)","Alkalic Igneous","Peralkaline syenite, Granosyenite, Nepheline syenite","Not Available","Occurrence","Kogarko and others, 1995","wht_blank"
"Alcobaca","Bahia","Brazil",-17.25,-39.23333,"No","Probable reserves",2,3,1,"Monazite","La, Ce, Pr, Nd, Sm, Tb","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets","Yes","0.47% Monazite","Ilmenite, Zircon, Rutile, Titantite?","Quartz","Late Tertiary or Pleistocene-Holocene","Placer, Shoreline","Dune and Beach sand","Nuclebras de Monazita e Associados Ltda (1989)","Past byproduct producer; Marine placer.","Anstett, 1986; Neary and Highley, 1984; Hedrick and Templeton, 1991; Overstreet, 1967; Azevedo Branco, 1984; Jackson and Christiansen, 1993","ltblu_circle"
"Aley","British Columbia","Canada",56.45,-123.7333,"No","Inferred resources",5,9999,1,"Fersmite","Ce","Light","Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Batteries, Phosphors, Petroleum refining","No","Not Available","Pyrochlore, Columbite, Apatite, Rutile, Magnetite, Zircon","Not Available","349 plus or minus 12 Ma (K-Ar, mica) -- Mississippian","Carbonatite","Aley Carbonatite complex- carbonatite","Not Available","Occurrence, uncertain; REE is associated with sovite veins.","Nokleberg and others, 1997; Pell, 1996","wht_blank"
"Alice Springs","Northern Territory","Australia",-23.06667,134.55,"No","Indicated resources",4,7,1,"Allanite","La, Ce","Light","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys","No","1 Mt @ 4% Allanite","Th","Not Available","Not Available","Other Igneous-Affiliated (including Pegmatites and Veins.)","Pegmatite","Not Available","Potential resource; Allanite contains 20% rare earths and 1.5% Th.","O'Driscoll, 1988; Jackson and Christiansen, 1993","orange_blank"
"Allied Eneabba","Western Australia","Australia",-29.9,115.2667,"No","Probable reserves",2,3,1,"Monazite","La, Ce, Pr, Nd, Sm, Tb","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets","Yes","Total reserves-- 150 Mt @ 4% Heavy Minerals, 0.043 Mt Monazite","Ilmenite, Zircon","Not Available","Pleistocene-Recent","Placer, Shoreline","Not Available","Renison Goldfields (1988)","Past byproduct producer","Anstett, 1986; Roskill, 1988; Location from MRDS, 2001","ltblu_circle"
"Alto Ligonha","Not Available","Mozambique",-15.75,39,"No","Inferred resources",5,9999,1,"Not Available","Not Available","Not Available","Not Available","No","Not Available","Nb, Ta, gemstones","Not Available","Not Available","Other - Uncertain","Not Available","Not Available","Occurrence, uncertain; Location is very approximate.","U.S. Bureau of Mines, 1991","wht_blank"
"Alwaya (Alwaye)","Kerala","India",10.11667,76.333,"No","Inferred resources",5,9999,2,"Monazite","La, Ce, Pr, Nd, Sm, Tb","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets","No","Not Available","Ti, Zr","Not Available","Not Available","Placer, Shoreline","Not Available","Not Available","Occurrence, uncertain","Hedrick and Templeton, 1991","wht_blank"
"Ambatofinandrahana igneous complex","Not Available","Madagascar",-20.45,46.95,"No","Probable reserves",2,3,1,"Bastnasite","Y, Eu, Gd, Dy, Er, Tm, Lu","Heavy","Phosphors, Ceramics, Magnets, Lasers, Metal alloys, Nuclear industry","No","Not Available","Not Available","Not Available","Not Available","Alkalic Igneous","Nepheline syenite dikes","Not Available","Past producer, minor; Small amounts of bastnasite recovered from pegmatites.","Neary and Highley, 1984; Location from Woolley, 2001","ltblu_circle"
"Amis Complex","Not Available","Namibia",-21.1667,14.5,"No","Inferred resources",5,9999,1,"Y-Fluorite, Monazite, Xenotime, Bastnasite, Fergusonite","Y, La, Ce, Pr, Nd, Sm, Tb, Yb, Eu, Gd, Dy, Er, Tm, Lu","Heavy/Light","Phosphors, Ceramics, Petroleum refining, Batteries, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets, Lasers, Silicon photovoltaic cells, Nuclear industry","No","Not Available","Th","Arfvedsonite, Aegirine","Early Cretaceous","Alkalic Igneous","Fenitized peralkaline arfvedsonite-aegirine granite and associated agpaitic pegmatites","Not Available","Occurrence; On SW periphery of the Brandberg complex. Location estimated.","McManus and Schneider, 1994","wht_blank"
"Amity","Queensland","Australia",-27.4,153.4333,"No","Probable reserves",2,3,1,"Monazite","La, Ce, Pr, Nd, Sm, Tb","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets","Yes","Not Available","Ti, Zr","Not Available","Pliocene-Pleistocene","Placer, Shoreline","Not Available","Consolidated Rutile Ltd. (1989)","Past byproduct producer","Hedrick and Templeton, 1991; Location from Australia National Mapping Agency, 2001, accessed at URL http://www.auslig.gov.au/mapping","ltblu_circle"
"Amma (Amba) Dongar (Ambadungar)","Not Available","India",22,74,"Yes","Indicated resources",4,15,2,"Not Available","Not Available","Not Available","Not Available","No","105 Mt @ 3% REO; 11.6 Mt @ 30% CaF2","Fluorite, P","Not Available","Not Available","Carbonatite","Carbonatite","Not Available","Active F producer (2002); Veins in carbonatite.","Singer, 1998; Pell, 1996; Location from Figure 1: http://econgeol.geoscienceworld.org/cgi/reprint/91/5/934","red_blank"
"Ampasindava area- Bezavona complex","Not Available","Madagascar",-13.8,48.0833,"No","Inferred resources",5,9999,1,"Rinkite, Mosandrite, Eudialyte","Ce, Y, La, Nd, Pr, Gd","Light/Heavy","Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Batteries, Phosphors, Petroleum refining, Ceramics, Magnets","No","Not Available","Not Available","Astrophyllite, Arfvedsonite, Aenigmatite, Biotite","Not Available","Alkalic Igneous","Nepheline syenite, Phonolite, Nordmarkite, Theralite","Not Available","Occurrence","Woolley, 2001","wht_blank"
"Anchieta (Parati, Imbiri, Pipa de Viho, Maeba)","Espirito Santo","Brazil",-20.76667,-40.58333,"No","Probable reserves",2,3,1,"Monazite","La, Ce, Pr, Nd, Sm, Tb","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets","No","Measured reserves- 698 t Monazite grading 60.02% REO (1986); 0.057 Mt @ 0.71% Monazite (1987)","Ilmenite, Rutile, Zircon","Quartz","Late Tertiary","Placer, Shoreline","Grupo barreiras and younger sediments","Nuclebras de Monazita e Associados Ltda. (1988)","Past producer?; Small modern beach placers, elevated bars. Monazite contains about 5.2% ThO2. Probably depleted.","Anstett, 1986; Overstreet, 1967; Roskill, 1988; Azevedo Branco, 1984; Jackson and Christiansen, 1993","ltblu_circle"
"Anezrouf","Not Available","Mali",20.06667,0.05,"No","Inferred resources",5,9999,1,"Pyrocholre, Wohlerite","Nd","Light","Magnets, Batteries","No","Not Available","Apatite, Titanite, Fluorite, Zircon, Pyrite","Sodalite, Cancrinite, Aegirine, Augite, Calcite, Wollastonite, Nepheline, Pyroxene, Biotite","Permian or younger","Carbonatite","Nepheline syenite, Ijolite, Carbonatite, Phonolite, Pyroxenite, Fenite","Not Available","Occurrence","Woolley, 2001; Sauvage and Savard, 1985","wht_blank"
"Angico dos Dias","Bahia","Brazil",-9.416667,-42,"Yes","Inferred resources",5,9999,1,"Apatite","Ce, La, Nd, Sm, Gd","Light/Heavy","Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Batteries, Phosphors, Petroleum refining, Magnets","No","Not Available","Not Available","Not Available","Not Available","Carbonatite with residual enrichment","Not Available","Not Available","Occurrence","Mariano, 1989; Location from Figure 1 http://minmag.geoscienceworld.org/cgi/reprint/67/5/1039","wht_blank"
"Angoche","Not Available","Mozambique",-16.1667,39.916667,"Yes","Indicated resources",4,7,1,"Monazite","La, Ce, Pr, Nd, Sm, Tb","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets","No","Estimated reserves-- 124 Mt @ 4% Heavy Minerals","Ilmenite, Zircon, Rutile, Magnetite","Not Available","Not Available","Placer, Shoreline","Not Available","Kenmare Resources (1988)","Prospect (1988); Lat/Long for city: Angoche","Roskill, 1988; O'Driscoll, 1988","orange_blank"
"Anitapolis","Santa Catarina","Brazil",-27.8,-49.0833,"Yes","Inferred resources",5,9999,1,"Apatite","Ce, La, Nd, Sm, Gd","Light/Heavy","Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Batteries, Phosphors, Petroleum refining, Magnets","No","Not Available","Apatite, Magnetite","Pyroxene, Biotite, Phlogopite, Amphibole, Olivine","Early Cretaceous","Carbonatite with residual enrichment","Ijolite, Peralkaline syenite, Pyroxenite, Nepheline syenite, Glimmerite, Weathered carbonatite","Not Available","P producer; REE occurrence; Woolley gives location as 27-54S, 49-09W.","Mariano, 1989; Azevedo Branco, 1984; Woolley, 1987","wht_blank"
"Anomalnoe","Not Available","Russia",54.0667,157.4,"No","Inferred resources",5,9999,2,"Not Available","Not Available","Not Available","Not Available","No","Not Available","Columbite-tanalite, Ilmenite, Rutile","K-Feldspar, Albite","170 Ma (K-Ar, Feldspar) -- Proterozoic","Metamorphic","Schist","Not Available","Occurrence, uncertain; Vein forms orebody over 1 km long and greater than or equal to 12.5 m thick.","Nokleberg and others, 1997","wht_blank"
"Antete area","Not Available","Madagascar",-19.4,48.61667,"Yes","Probable reserves",2,3,1,"Monazite","La, Ce, Pr, Nd, Sm, Tb","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets","No","Not Available","Ti","Not Available","Not Available","Placer, Shoreline","Not Available","Not Available","Past producer; Known to be somewhere in Madagascar. Placemarker in the middle of Madagascar.","Neary and Highley, 1984","ltblu_circle"
"Aracruz","Espirito Santo","Brazil",-19.96667,-40.15,"No","Probable reserves",2,3,1,"Monazite","La, Ce, Pr, Nd, Sm, Tb","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets","Yes","Measured reserves- 2964 t Monazite grading 59.98% REO (1986); 0.282 Mt @ 1.05% Monazite (1987)","Ilmenite, Rutile, Zircon","Quartz","Late Tertiary","Placer, Shoreline","Grupo barreiras sand","Nuclebras de Monazita e Associados Ltda. (1989)","Past byproduct producer (1989)","Anstett, 1986; Hedrick and Templeton, 1991; Roskill, 1988; Jackson and Christiansen, 1993; Location from Azevedo Branco, 1984","ltblu_circle"
"Araxa (Barreiro)","Minas Gerais","Brazil",-19.6333,-46.9333,"No","Indicated resources",4,7,1,"Monazite, Gorceixite, Goyazite, Apatite, Bariopyrochlore, Ancylite, Ceriopyrochlore","La, Ce, Pr, Nd, Sm, Tb, Gd, Y","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets, Ceramics","No",">450 Mt Nb ore @ 2.5% Nb2O5, 4.4% REO + 0.8 Mt laterite ore @ 13.5% REO, 2% Nb2O5, 0.05% U3O8 (1984); 0.546 Mt @ 10-11% REO (1982); 462 Mt @ 0.033% REO","Apatite, Bariopyrochlore, Barite, Calcite, Magnetite, Gorceixite, Ilmenite, Hematite, Gibbsite, Bohmite, Pandaite, Pyrochlore, Vermiculite, Isokite, Pyrite","Dolomite, Arfvedsonite, Aegirine-Augite, Goethite, Limonite, Kaolinite, Quartz","87.2 plus or minus 4.4 Ma (K-Ar, Biotite, glimmerite)","Carbonatite with residual enrichment","Beforsite, Glimmerite, Sovite, Some pyroxenite","CBMM","Nb-P producer; REE-Ba occurrence; Weathered carbonatite with 3 separate deposits. Barreiro Complex is circular and about 4.5 km in diameter. World's largest Nb reserve.","Silva, 1986; Azevedo Branco, 1984; Singer, 1998; Woolley, 1987; Castor, 1994, 1968; Pell, 1996; Neary and Highley, 1984; Morteani and Preinfalk, 1996; Mariano, 1989; McNeil, 1979","orange_blank"
"Archie Lake","Saskatchewan","Canada",59.5667,-107.7333,"Yes","Inferred resources",5,9999,1,"Monazite","La, Ce, Pr, Nd, Sm, Tb","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets","No","Not Available","Ilmenite","Not Available","Archean","Placer, Paleoplacer","Gneiss","Quantum Rare Earths Developments Corp.","Occurrence; A 5 to 6 m thick stratabound zone can be traced over a strike length of 600 m. 30 km ESE of Uranium City.","Saskatchewan Geological Survey, 1991; Location from http://www.infomine.com/index/properties/ARCHIE_LAKE.html","wht_blank"
