"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X25"
"DEPOSIT",NA,"Location",NA,NA,NA,NA,"Resources",NA,NA,"Mineralogy",NA,NA,"Geochronology","Host Rock(s)","Company","COMMENTS","REFERENCES",NA
"TYPE","Deposit or district name","Country","State or Province","Latitude","Longitude","Source","Tonnage and grade","Source & Date of Estimate(s)","STATUS","REE Mineralogy","Other Ore or Significant Minerals","Gangue and Rock-forming Minerals","Age (method, mineral, rock)",NA,NA,NA,NA,NA
"CARBONATITE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Adiounedj","Mali",NA,"20-11N","0-04E","Woolley, 2001",NA,NA,"Occurrence","syn","flu, tit, apa, bar, pyro","qtz, cal, Fe oxides, can, sod, aeg-aug, cal","Permian?","fenite, rodbergite, syenite, carbonatite",NA,"Hydrothermal syn found in flu, cal, and qtz.","Woolley, 2001;  Wall and Mariano, 1996; Mariano, 1983a; Sauvage and Savard, 1985",NA
NA,"Agate Mountain","Namibia",NA,"18-27S","12-05E","Woolley, 2001",NA,NA,"Occurrence","bas","flu, Mn",NA,"Post-early Cretaceous","beforsitic carbonatite, breccia, fenite",NA,"Carbonatite contains irregular patches of bastnasite.","Woolley, 2001; McManus and Schneider, 1994",NA
NA,"Aley","Canada","British Columbia","56-27N","123-44W","Nokleberg and others, 1997",NA,NA,NA,"fers","pyro, col, apa, rut, mag, zir",NA,"349 ± 12 Ma (K-Ar, mica) -- Mississippian ","Aley Carbonatite complex- carbonatite",NA,"REE is associated with sovite veins.","Nokleberg and others, 1997; Pell, 1996",NA
NA,"Amma (Amba) Dongar (Ambadungar)","India",NA,NA,NA,NA,"105 Mt @ 3% REO; 11.6 Mt @ 30% CaF2","Singer, 1998; Pell, 1996","Active F producer (2002)",NA,"flu, P",NA,NA,"carbonatite",NA,"Veins in carbonatite.","Singer, 1998; Pell, 1996",NA
NA,"Anezrouf","Mali",NA,"20-04N","0-03E","Sauvage and Savard, 1985",NA,NA,"Occurrence","pyro, woh","apa, tit, flu, zir, pyr","sod, can, aeg, aug, cal, wol, neph, pyx, bio","Permian or younger","nepheline syenite, ijolite, carbonatite, phonolite, pyroxenite, fenite",NA,NA,"Woolley, 2001; Sauvage and Savard, 1985",NA
NA,"Argor (South Bluff Creek, James Bay, Alpha-B)","Canada","Ontario","50-45N","81-01W","Woolley, 1987",NA,NA,NA,NA,"apa, Ti-mag, pyro, zir, pyr, cpy","dol, rie, phlo, cal, oliv, bio, aug",NA,"carbonatite, pyroxenite, gneiss",NA,NA,"Woolley, 1987",NA
NA,"Bailundo","Angola",NA,"12-09S","15-57E","Woolley, 2001",NA,NA,"Occurrence","bas, par, syn, RE phosphates","apa, bar, pyro, mag, hol, str","cal, dol, ank","Cretaceous","calcite carbonatite, phoscorite, fenite",NA,"Small scale mining of magnetite has occurred.","Woolley, 2001; Alberti and others, 1999",NA
