"DEPOSIT.NAME","LATITUDE","LONGITUDE","REEs","Ce","Nd","Y","Eu","Gd","Dy","Er","Tm","Lu","La","Pr","Sm","Tb","Yb","Ho"
"Ablah","20.0833","41.91667",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Abu Tartar","25.4333","30.0333",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Adiounedj","20.183333","0.06667","Ce, Nd, Y","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Agate Mountain","-18.45","12.0833","Y, Eu, Gd, Dy, Er, Tm, Lu","0","0","1","1","1","1","1","1","1","0","0","0","0","0","0"
"Agnes Waters (Rocky Point)","-24.21667","151.9","La, Ce, Pr, Nd, Sm, Tb","1","1","0","0","0","0","0","0","0","1","1","1","1","0","0"
"Agnew Lake","46.3667","-81.75",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Aguas Dulces","-34.25","-53.716667","La, Ce, Pr, Nd, Sm, Tb","1","1","0","0","0","0","0","0","0","1","1","1","1","0","0"
"Akitskii","56.01667","110.3667","Y, Tb, Yb, Ce, La, Nd","1","1","1","0","0","0","0","0","0","1","0","0","1","1","0"
"Alcobaca","-17.25","-39.23333","La, Ce, Pr, Nd, Sm, Tb","1","1","0","0","0","0","0","0","0","1","1","1","1","0","0"
"Aley","56.45","-123.7333","Ce","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Alice Springs","-23.06667","134.55","La, Ce","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"Allied Eneabba","-29.9","115.2667","La, Ce, Pr, Nd, Sm, Tb","1","1","0","0","0","0","0","0","0","1","1","1","1","0","0"
"Alto Ligonha","-15.75","39",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Alwaya (Alwaye)","10.11667","76.333","La, Ce, Pr, Nd, Sm, Tb","1","1","0","0","0","0","0","0","0","1","1","1","1","0","0"
"Ambatofinandrahana igneous complex","-20.45","46.95","Y, Eu, Gd, Dy, Er, Tm, Lu","0","0","1","1","1","1","1","1","1","0","0","0","0","0","0"
"Amis Complex","-21.1667","14.5","Y, La, Ce, Pr, Nd, Sm, Tb, Yb, Eu, Gd, Dy, Er, Tm, Lu","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0"
"Amity","-27.4","153.4333","La, Ce, Pr, Nd, Sm, Tb","1","1","0","0","0","0","0","0","0","1","1","1","1","0","0"
"Amma (Amba) Dongar (Ambadungar)","22","74",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ampasindava area- Bezavona complex","-13.8","48.0833","Ce, Y, La, Nd, Pr, Gd","1","1","1","0","1","0","0","0","0","1","1","0","0","0","0"
"Anchieta (Parati, Imbiri, Pipa de Viho, Maeba)","-20.76667","-40.58333","La, Ce, Pr, Nd, Sm, Tb","1","1","0","0","0","0","0","0","0","1","1","1","1","0","0"
"Anezrouf","20.06667","0.05","Nd","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Angico dos Dias","-9.416667","-42","Ce, La, Nd, Sm, Gd","1","1","0","0","1","0","0","0","0","1","0","1","0","0","0"
"Angoche","-16.1667","39.916667","La, Ce, Pr, Nd, Sm, Tb","1","1","0","0","0","0","0","0","0","1","1","1","1","0","0"
"Anitapolis","-27.8","-49.0833","Ce, La, Nd, Sm, Gd","1","1","0","0","1","0","0","0","0","1","0","1","0","0","0"
"Anomalnoe","54.0667","157.4",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Antete area","-19.4","48.61667","La, Ce, Pr, Nd, Sm, Tb","1","1","0","0","0","0","0","0","0","1","1","1","1","0","0"
"Aracruz","-19.96667","-40.15","La, Ce, Pr, Nd, Sm, Tb","1","1","0","0","0","0","0","0","0","1","1","1","1","0","0"
"Araxa (Barreiro)","-19.6333","-46.9333","La, Ce, Pr, Nd, Sm, Tb, Gd, Y","1","1","1","0","1","0","0","0","0","1","1","1","1","0","0"
"Archie Lake","59.5667","-107.7333","La, Ce, Pr, Nd, Sm, Tb","1","1","0","0","0","0","0","0","0","1","1","1","1","0","0"
"Arenopolis (Areianopolis)","-16.3667","-51.5333","Ce, La, Y, Nd, Pr, Gd","1","1","1","0","1","0","0","0","0","1","1","0","0","0","0"
"Argor (South Bluff Creek, James Bay, Alpha-B)","50.75","-81.01667",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Arimoor","8.4333","9.2833","La, Ce, Pr, Nd, Sm, Tb","1","1","0","0","0","0","0","0","0","1","1","1","1","0","0"
"Atlantida","-32.2","-55.8","La, Ce, Pr, Nd, Sm, Tb","1","1","0","0","0","0","0","0","0","1","1","1","1","0","0"
"Atlin-Ruffner","45.016667","-78.18333","La, Ce","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"Australind","-33.2333","115.75","La, Ce, Pr, Nd, Sm, Tb","1","1","0","0","0","0","0","0","0","1","1","1","1","0","0"
"Ayer Kuning","4.18333","101.15","La, Ce, Pr, Nd, Sm, Tb","1","1","0","0","0","0","0","0","0","1","1","1","1","0","0"
"Azov Sea Coast Dikes","47.18333","36.5667",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Azovske","45.58333","34.5667",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Badarmokam","23.6833","90.35","La, Ce, Pr, Nd, Sm, Tb","1","1","0","0","0","0","0","0","0","1","1","1","1","0","0"
"Baerzhe","40","125.5","Y, Nd, Ce","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
